id,PreCollege,After1,AtEnd
922,LD/MD,LD/MD,HD
923,ND,LD/MD,LD/MD
924,ND,LD/MD,LD/MD
925,ND,HD,HD
926,LD/MD,ND,HD
927,LD/MD,HD,HD
928,ND,HD,LD/MD
929,ND,LD/MD,LD/MD
930,ND,ND,LD/MD
931,ND,LD/MD,ND
932,LD/MD,HD,HD
933,ND,HD,LD/MD
934,ND,HD,HD
935,ND,LD/MD,LD/MD
936,ND,HD,LD/MD
937,LD/MD,LD/MD,LD/MD
938,LD/MD,HD,HD
939,HD,LD/MD,HD
940,LD/MD,LD/MD,LD/MD
941,ND,HD,HD
942,LD/MD,ND,HD
943,HD,HD,HD
944,LD/MD,ND,LD/MD
945,HD,LD/MD,HD
946,LD/MD,LD/MD,LD/MD
947,ND,LD/MD,LD/MD
948,ND,HD,HD
949,HD,HD,LD/MD
950,HD,HD,LD/MD
951,LD/MD,LD/MD,LD/MD
